Car_Name,Year,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,Selling_Price
Honda,2005,9383,Petrol,Dealer,Manual,Second Owner,21.98,3000,160.43,7,50000
Audi,2006,97313,Diesel,Individual,Manual,First Owner,24.98,1000,64.99,6,50000
Ford,2021,39361,Petrol,Dealer,Manual,Second Owner,11.97,2000,119.87,5,437903.08
Mahindra,2009,85294,Electric,Individual,Manual,First Owner,17.17,1200,65.62,5,50000
Audi,2010,66331,Diesel,Individual,Manual,Second Owner,18.05,1000,75.26,5,50000
Hyundai,2011,100057,Diesel,Individual,Automatic,First Owner,24.07,1500,66.76,5,50000
Toyota,2019,156601,Petrol,Individual,Automatic,First Owner,16.96,1500,89.22,5,226587.06
Mahindra,2023,194646,Petrol,Individual,Automatic,First Owner,12.39,1500,71.66,5,266259.2
Hyundai,2020,126685,Petrol,Individual,Manual,First Owner,14.12,1500,111.66,5,209283.58
Kia,2017,101917,CNG,Individual,Manual,Second Owner,14.35,1500,75.21,5,84283.19
Mahindra,2009,35932,Petrol,Individual,Manual,First Owner,31.07,1800,117.61,4,50000
Kia,2007,6908,Petrol,Individual,Manual,Second Owner,17.11,2500,116.56,4,50000
Ford,2007,166430,Electric,Trustmark Dealer,Manual,Third Owner,27.87,1200,67.44,7,50000
Hyundai,2023,35412,Diesel,Dealer,Manual,Third Owner,24.2,1000,75.97,5,191782.38
Toyota,2018,133319,Petrol,Dealer,Manual,Third Owner,34.43,1500,69.96,5,188215.53
Audi,2020,88710,Petrol,Trustmark Dealer,Manual,Third Owner,16.82,1800,119.75,5,730992.25
Tata,2021,7928,Electric,Dealer,Automatic,First Owner,13.96,3000,144.54,5,1095945.22
Honda,2008,70158,Petrol,Dealer,Automatic,First Owner,11.3,3000,169.89,5,50000
Maruti,2017,166704,Diesel,Individual,Automatic,Second Owner,16.02,2000,123.25,5,265629.21
Toyota,2012,37309,Diesel,Dealer,Automatic,Third Owner,27.1,1800,113.57,4,50000
Hyundai,2023,14280,Petrol,Dealer,Automatic,Fourth & Above Owner,12.13,1800,115.38,7,371700.48
Tata,2009,45449,Diesel,Trustmark Dealer,Manual,First Owner,16.12,1200,78.73,4,50000
Toyota,2006,31957,Petrol,Individual,Manual,First Owner,31.38,1500,76.31,4,50000
Hyundai,2019,172967,Petrol,Dealer,Automatic,First Owner,24.57,1800,100.9,7,244671.95
BMW,2006,75499,Diesel,Trustmark Dealer,Automatic,Second Owner,11.74,2500,103.73,5,50000
BMW,2015,98057,CNG,Trustmark Dealer,Automatic,Second Owner,11.19,1800,127.35,6,415934.88
Kia,2017,115065,Diesel,Dealer,Automatic,First Owner,11.53,1500,110.23,5,212139.05
Toyota,2014,157767,Diesel,Dealer,Manual,First Owner,33.55,1200,57.56,5,121567.46
BMW,2007,79893,Petrol,Individual,Automatic,Second Owner,31.25,1800,86.5,5,50000
Hyundai,2009,199195,Petrol,Individual,Automatic,Second Owner,31.12,1000,41.68,7,50000
Kia,2007,30176,Petrol,Individual,Manual,First Owner,33.11,800,63.05,4,50000
Hyundai,2010,154481,Petrol,Trustmark Dealer,Automatic,Third Owner,22.63,3000,216.86,5,50000
Kia,2017,61967,Petrol,Individual,Manual,Second Owner,16.18,2000,108.86,4,198630.69
Toyota,2014,5987,Petrol,Dealer,Automatic,Third Owner,20.03,800,47.42,5,50000
Tata,2023,190534,Petrol,Individual,Automatic,Third Owner,27.97,800,41.34,7,115956.68
Audi,2012,101854,Petrol,Dealer,Manual,First Owner,31.9,1200,76.67,4,50000
Mahindra,2022,31015,Diesel,Individual,Automatic,First Owner,20.88,3000,206.08,7,970253.24
Tata,2007,117350,CNG,Individual,Manual,Second Owner,23.38,1800,104.21,5,50000
Ford,2021,71404,Petrol,Dealer,Automatic,First Owner,33.29,800,59.96,7,162296.09
Hyundai,2012,121751,Electric,Individual,Manual,Third Owner,12.69,800,48.54,5,50000
Ford,2014,133807,CNG,Dealer,Automatic,Second Owner,31.56,3000,137.31,7,165523.9
Tata,2006,186353,Petrol,Dealer,Manual,Third Owner,13.98,2000,129.78,5,50000
Kia,2016,173218,Diesel,Individual,Automatic,First Owner,22.1,1500,87.73,6,165680.79
Mahindra,2010,53231,Diesel,Dealer,Manual,First Owner,15.46,2500,193.57,5,50000
Mahindra,2006,165104,Diesel,Individual,Automatic,Second Owner,25.07,2500,139.19,5,50000
Maruti,2007,33305,Petrol,Dealer,Automatic,First Owner,23.96,3000,168.34,7,50000
Mahindra,2021,59306,Diesel,Individual,Automatic,Second Owner,19.5,1800,118.86,5,476951.32
Audi,2011,126139,Petrol,Individual,Automatic,Third Owner,31.58,1800,109.94,7,50000
Mahindra,2009,23318,Diesel,Individual,Automatic,First Owner,26.5,2000,109.96,5,50000
Tata,2005,149318,Diesel,Dealer,Manual,Second Owner,28.03,1500,119.39,5,50000
Maruti,2012,169916,Diesel,Trustmark Dealer,Manual,First Owner,13.77,3000,156.26,7,68776.39
Tata,2016,168674,Diesel,Dealer,Manual,First Owner,32.08,1800,91.98,5,145419.83
Tata,2018,26584,Diesel,Dealer,Automatic,Fourth & Above Owner,14.18,2500,186.44,5,170252.67
Honda,2020,20169,Petrol,Dealer,Automatic,Fourth & Above Owner,15.57,2500,100.34,7,391169.29
Maruti,2014,30968,Petrol,Dealer,Manual,Second Owner,13.2,1000,48.05,5,50000
Tata,2019,142457,CNG,Trustmark Dealer,Automatic,Third Owner,21.01,2000,127.24,5,50781.58
Honda,2019,127684,Petrol,Dealer,Automatic,Second Owner,32.19,1200,55.8,5,219907.09
Honda,2014,120391,Petrol,Individual,Automatic,First Owner,16.31,1500,119.15,7,113563.32
Maruti,2011,30444,Petrol,Individual,Manual,First Owner,19.34,2000,117.14,7,50000
Ford,2007,111081,Petrol,Dealer,Manual,Third Owner,31.15,800,51.12,7,50000
Kia,2006,67497,Electric,Individual,Manual,First Owner,25.45,3000,139.24,5,50000
Audi,2010,10362,Diesel,Dealer,Automatic,Second Owner,28.79,1800,92.84,5,50000
Kia,2013,104254,Electric,Dealer,Manual,Second Owner,15.35,1000,64.58,5,161818.72
Mahindra,2014,144322,Diesel,Dealer,Manual,Second Owner,27.91,2500,154.96,5,65433.13
Audi,2008,73354,Diesel,Trustmark Dealer,Automatic,First Owner,15.69,1000,71.37,4,50000
Mahindra,2007,41368,Petrol,Trustmark Dealer,Automatic,First Owner,34.68,1200,60.92,4,50000
Tata,2013,49109,Diesel,Dealer,Automatic,First Owner,24,3000,198.43,7,50000
Hyundai,2021,193717,Petrol,Dealer,Manual,Second Owner,27.39,2000,103.28,7,352755.38
Maruti,2018,193069,CNG,Individual,Manual,Second Owner,12.96,1000,63.47,5,68701.95
Audi,2014,32426,CNG,Dealer,Automatic,Second Owner,16.27,2000,128.4,7,450037.06
Audi,2017,122632,Petrol,Trustmark Dealer,Manual,Second Owner,13.49,3000,134.62,7,890853.71
Tata,2016,117637,Electric,Individual,Manual,First Owner,19.75,1800,111.5,5,152467.02
Ford,2005,44023,CNG,Dealer,Manual,Third Owner,17.1,1800,72.86,5,50000
Honda,2023,127268,Diesel,Individual,Manual,Second Owner,28.32,2500,150.12,5,523337.22
Tata,2023,195339,Petrol,Dealer,Manual,First Owner,12.72,1000,67.9,5,201974.66
BMW,2010,160964,Diesel,Trustmark Dealer,Manual,First Owner,28.8,1800,77.24,5,50000
Honda,2017,195304,Diesel,Trustmark Dealer,Manual,Third Owner,11.14,3000,232.65,5,127176.52
Maruti,2023,114211,Petrol,Dealer,Manual,Third Owner,15.05,2000,116.7,7,309498.42
Honda,2017,99897,Petrol,Dealer,Automatic,First Owner,29.8,2500,193.84,5,406353.69
Ford,2008,195297,Diesel,Trustmark Dealer,Manual,Second Owner,28.57,1800,79.73,5,50000
Honda,2006,152079,Petrol,Trustmark Dealer,Automatic,First Owner,21.91,3000,233.99,5,50000
Maruti,2019,84777,Diesel,Dealer,Manual,First Owner,11.25,3000,133.1,5,407817.64
Ford,2016,49858,Electric,Individual,Manual,Second Owner,25.25,2500,146.15,5,330873.87
Kia,2011,181145,CNG,Dealer,Automatic,Second Owner,20.17,800,62.02,5,50000
Audi,2022,95042,Petrol,Dealer,Manual,Second Owner,17.91,2000,98.62,7,1106981.89
Audi,2017,88098,CNG,Trustmark Dealer,Manual,First Owner,26.01,3000,124.17,5,1041439.88
Mahindra,2021,25239,Petrol,Dealer,Manual,First Owner,20.92,2500,179.31,7,650522.59
Kia,2008,199041,Petrol,Trustmark Dealer,Automatic,First Owner,12.31,1500,95.75,5,50000
Kia,2018,149137,Diesel,Dealer,Manual,First Owner,32.9,3000,181.67,5,394787.79
Honda,2017,115951,Petrol,Individual,Manual,First Owner,29.46,1800,74.47,5,221689.75
Audi,2007,46291,Petrol,Dealer,Automatic,First Owner,11.41,1800,119.03,6,50000
Maruti,2022,43805,Diesel,Individual,Manual,First Owner,23.13,2000,93.73,7,473690.31
Toyota,2018,103831,Petrol,Individual,Manual,First Owner,12.08,3000,231.74,5,468581.97
Toyota,2019,154515,Petrol,Dealer,Manual,Second Owner,30.93,1200,80.91,4,239494.09
Ford,2007,14290,Diesel,Individual,Automatic,First Owner,25.33,1500,102.42,5,50000
Audi,2005,136283,Diesel,Dealer,Manual,First Owner,14.31,2500,123.26,6,50000
Audi,2021,88634,Diesel,Dealer,Manual,Second Owner,10.52,1500,112.85,5,937685.35
Toyota,2007,24072,Petrol,Individual,Manual,First Owner,10.79,2500,153.77,5,50000
Audi,2018,48290,Petrol,Dealer,Automatic,Second Owner,22.68,3000,222.85,5,1424948.83
Honda,2007,90186,Petrol,Individual,Manual,First Owner,28.36,1500,76.26,5,50000
BMW,2017,20115,Petrol,Individual,Automatic,First Owner,13.02,1000,70.22,7,466539.16
Hyundai,2019,10149,Diesel,Individual,Manual,First Owner,15.53,800,50.39,5,111042.71
Kia,2022,46992,Petrol,Dealer,Automatic,First Owner,18.18,800,33.55,5,313840.47
Mahindra,2018,22716,Petrol,Dealer,Automatic,Second Owner,15.45,1200,67.46,5,146962.93
Ford,2007,102724,Diesel,Dealer,Manual,Third Owner,19.78,1500,71.03,5,50000
BMW,2023,18621,Diesel,Individual,Manual,First Owner,23.99,1500,81.55,4,1534398.78
Toyota,2012,142892,Diesel,Individual,Manual,First Owner,27.12,1800,99.6,6,50000
Kia,2008,118065,Petrol,Individual,Manual,Second Owner,34.09,2500,147.49,5,50000
Audi,2008,178872,Petrol,Dealer,Automatic,First Owner,33.27,2000,128.02,5,50000
Mahindra,2023,191115,Petrol,Dealer,Manual,Third Owner,24.25,1000,62.84,5,189046.82
Audi,2015,35399,Petrol,Dealer,Manual,First Owner,28.35,1000,41.56,6,282693.07
Maruti,2005,124374,Diesel,Dealer,Manual,Fourth & Above Owner,33.77,3000,210.08,5,50000
Maruti,2012,150074,CNG,Dealer,Automatic,First Owner,12.09,1200,93.56,7,50000
Mahindra,2019,48098,Diesel,Dealer,Manual,First Owner,10.14,800,43.16,5,189961.55
Mahindra,2005,50511,Diesel,Dealer,Manual,Third Owner,10.74,3000,141.57,6,50000
Toyota,2011,58243,Petrol,Dealer,Manual,Second Owner,24.08,1500,92.4,5,50000
Mahindra,2015,120131,Diesel,Dealer,Automatic,Second Owner,29.07,2000,136.39,5,162693.82
Honda,2018,33750,Petrol,Dealer,Automatic,Second Owner,19.18,1200,80.59,4,144742.82
Audi,2020,153382,Diesel,Dealer,Manual,Second Owner,23.63,2500,161.21,7,1292689.79
BMW,2018,60398,Diesel,Dealer,Manual,First Owner,22.91,1000,45.85,7,460078.31
Tata,2016,49345,Petrol,Individual,Manual,Second Owner,12.37,1000,73.47,6,90468.2
Mahindra,2021,98430,Petrol,Dealer,Manual,First Owner,18.04,1000,57.02,6,162722.83
Ford,2018,119921,Electric,Dealer,Automatic,Third Owner,10.49,1500,73.29,5,233663.21
Maruti,2014,96729,Petrol,Dealer,Automatic,Fourth & Above Owner,12.77,1500,65.18,5,141720.57
Honda,2018,56843,Petrol,Dealer,Manual,First Owner,30.3,1500,85,7,287654.68
Kia,2022,146294,Petrol,Dealer,Automatic,First Owner,30.74,1800,116.49,7,455465.69
Tata,2013,167581,Diesel,Dealer,Manual,First Owner,30.05,800,53.29,5,66439.24
BMW,2021,136458,Diesel,Individual,Automatic,First Owner,28.17,2500,196.27,5,1805401.27
Tata,2010,69334,Diesel,Dealer,Automatic,Third Owner,29.83,1000,46.13,5,50000
Mahindra,2012,72170,Petrol,Dealer,Manual,First Owner,26.77,1000,79.43,5,50000
Toyota,2017,45878,Diesel,Trustmark Dealer,Automatic,First Owner,26.75,3000,198.56,5,530639.35
Maruti,2022,174421,Petrol,Dealer,Manual,Third Owner,26.68,1800,104.7,5,277417.89
Maruti,2009,158024,CNG,Dealer,Manual,Third Owner,22.85,1000,75.53,4,50000
Kia,2010,95352,Diesel,Trustmark Dealer,Manual,Second Owner,19.08,2500,169.45,6,50000
Toyota,2023,157601,Petrol,Individual,Manual,Second Owner,28.25,1000,53.95,6,247847.81
Audi,2008,177593,Petrol,Dealer,Automatic,Second Owner,17.47,1500,113.05,7,50000
Hyundai,2011,23383,Petrol,Dealer,Automatic,Fourth & Above Owner,23.57,1500,100,7,50000
Honda,2008,140973,Petrol,Dealer,Automatic,Second Owner,20.83,800,54.36,5,50000
Maruti,2015,47889,Petrol,Dealer,Automatic,Second Owner,16.92,2500,189.64,6,258615.43
Ford,2016,19633,Diesel,Individual,Automatic,First Owner,34.37,2500,144.84,5,377547.59
Maruti,2018,67244,Diesel,Dealer,Manual,First Owner,16.47,1000,66.28,7,71263.85
Tata,2017,134177,Petrol,Dealer,Manual,Second Owner,17.73,1200,83.75,5,139041.85
Maruti,2014,155235,Petrol,Trustmark Dealer,Manual,Third Owner,14.04,1000,58.16,7,50000
Maruti,2022,195091,Petrol,Trustmark Dealer,Automatic,Third Owner,30.57,1000,43.34,5,90484.75
Hyundai,2020,146779,CNG,Dealer,Automatic,Fourth & Above Owner,24.66,800,56.69,5,67089.5
Hyundai,2009,88597,Petrol,Individual,Manual,Second Owner,25.33,1200,50.3,5,50000
BMW,2012,181173,Diesel,Dealer,Automatic,Second Owner,30.51,3000,206.15,5,171049.31
Audi,2018,180778,CNG,Trustmark Dealer,Automatic,Third Owner,18.57,1000,76.44,5,294874.81
Ford,2009,20115,Diesel,Dealer,Manual,Second Owner,14.84,2000,107.76,5,50000
Maruti,2012,80379,CNG,Dealer,Manual,First Owner,14.96,2000,88.16,7,50000
Maruti,2010,44979,Petrol,Dealer,Manual,First Owner,28.32,2500,123.29,5,50000
Honda,2020,176713,Electric,Dealer,Manual,Third Owner,25.35,2500,156.23,5,408476.33
Hyundai,2008,74377,Petrol,Dealer,Manual,First Owner,15.16,1200,93.25,5,50000
Ford,2016,11416,Petrol,Individual,Manual,Third Owner,13.63,2000,120.98,5,102081.97
Kia,2015,146705,Diesel,Individual,Manual,First Owner,13.02,1500,66.76,5,201007.78
BMW,2007,133785,Electric,Dealer,Manual,Second Owner,25.69,1500,97.67,5,50000
Audi,2016,136666,CNG,Dealer,Automatic,Second Owner,10,1200,83.18,7,305592.2
Toyota,2009,150465,Petrol,Dealer,Manual,Second Owner,10.46,3000,167.19,5,50000
Audi,2010,171452,Petrol,Trustmark Dealer,Automatic,First Owner,19.74,1000,68.86,7,50000
Tata,2023,181128,Electric,Trustmark Dealer,Manual,Third Owner,27.28,2500,132.48,6,408385.21
Maruti,2022,135364,Petrol,Trustmark Dealer,Manual,Second Owner,27.38,1200,85.88,7,155481.75
BMW,2020,102507,Diesel,Trustmark Dealer,Automatic,First Owner,20.75,2000,107.29,5,1479611.13
Tata,2015,123243,CNG,Dealer,Manual,Second Owner,27.28,1200,60.29,5,83914.3
Ford,2009,140933,Diesel,Dealer,Manual,First Owner,23.03,2000,150.33,5,50000
Toyota,2013,108070,Petrol,Individual,Automatic,First Owner,34.42,2500,154.85,7,98877.54
Hyundai,2007,41126,Diesel,Trustmark Dealer,Manual,First Owner,14.06,1500,77.11,5,50000
BMW,2012,85382,Petrol,Dealer,Manual,Third Owner,25.02,1200,92.88,7,50000
BMW,2010,169754,CNG,Dealer,Manual,Second Owner,22.28,2500,169.09,5,50000
Maruti,2008,23228,Diesel,Individual,Manual,Second Owner,14.86,2500,122.07,5,50000
Mahindra,2016,29009,CNG,Dealer,Manual,First Owner,28.75,1800,116.25,5,263789.31
BMW,2016,5094,Petrol,Dealer,Manual,First Owner,16.89,3000,224.44,5,1115552.56
Honda,2020,85636,Electric,Individual,Automatic,Fourth & Above Owner,19.54,2000,135.69,7,291658.96
Toyota,2014,188293,Petrol,Dealer,Automatic,Second Owner,19.37,1800,89.62,5,50000
Toyota,2018,103453,Petrol,Dealer,Automatic,Third Owner,16.11,1500,98.93,5,108619.89
Honda,2017,153502,Petrol,Individual,Automatic,First Owner,20.77,2500,161.92,5,415677.87
Kia,2013,171643,Diesel,Individual,Automatic,First Owner,21.83,2500,182.08,5,86055.69
Honda,2011,59486,Diesel,Trustmark Dealer,Manual,Third Owner,28.61,1000,47.13,5,50000
Honda,2016,95510,CNG,Dealer,Automatic,Second Owner,29.13,2000,135.97,5,197372.68
Toyota,2009,198366,Petrol,Dealer,Automatic,First Owner,13.96,3000,123.28,5,50000
Audi,2022,25860,Petrol,Individual,Automatic,First Owner,24.82,3000,203.54,5,3111888.82
Toyota,2008,77812,Diesel,Individual,Manual,Third Owner,32.4,1000,78.42,5,50000
Mahindra,2006,71087,Petrol,Dealer,Manual,First Owner,12.72,1500,70.46,5,50000
Maruti,2007,144558,Diesel,Individual,Manual,Second Owner,21.82,1000,52.45,5,50000
Tata,2016,54607,Electric,Dealer,Automatic,First Owner,28.76,2500,158.29,7,442379.04
Audi,2007,145817,Electric,Dealer,Manual,First Owner,25.29,2000,138.59,7,50000
Hyundai,2008,111664,Electric,Dealer,Automatic,Fourth & Above Owner,12.51,800,43.02,7,50000
Tata,2010,23330,Diesel,Dealer,Manual,First Owner,19.92,2000,133.14,7,50000
Maruti,2016,125803,Petrol,Dealer,Manual,Second Owner,22.68,2000,151.94,5,171978.63
Mahindra,2023,176150,Petrol,Individual,Manual,Third Owner,34.9,1800,124.31,5,230976.85
Mahindra,2014,191404,Diesel,Individual,Manual,First Owner,14.47,800,54.75,4,50000
Hyundai,2005,190604,CNG,Trustmark Dealer,Manual,First Owner,34.56,800,44.22,5,50000
Audi,2021,48336,Petrol,Dealer,Manual,Second Owner,19.4,800,61.17,5,467975
Kia,2020,13070,Petrol,Dealer,Automatic,First Owner,15.01,2000,102.19,7,588532.03
Honda,2013,6320,Petrol,Dealer,Manual,First Owner,20.35,1500,72.32,5,50000
Audi,2013,94043,Diesel,Dealer,Manual,First Owner,25.35,800,43.66,5,50000
Kia,2013,43921,CNG,Individual,Automatic,Second Owner,15.34,1200,79.21,5,59003.51
Mahindra,2016,11589,Diesel,Individual,Automatic,Second Owner,17.29,1000,74.47,5,174958.88
Toyota,2013,97995,Petrol,Individual,Automatic,Second Owner,31.36,1500,67.92,5,50000
Maruti,2019,20589,Electric,Dealer,Manual,First Owner,34.98,1200,87.06,6,261462.7
Hyundai,2006,41375,Diesel,Dealer,Automatic,Second Owner,17.95,2000,145.03,5,50000
Maruti,2015,48085,Petrol,Dealer,Automatic,Fourth & Above Owner,13.72,2000,126.95,7,86274.69
Ford,2015,65840,Petrol,Dealer,Manual,Second Owner,29.83,1200,84.51,7,50000
Ford,2012,179272,Petrol,Individual,Manual,Second Owner,25.01,1800,85.1,5,50000
Audi,2010,103704,Petrol,Trustmark Dealer,Manual,Second Owner,12.51,1800,84.21,5,50000
Mahindra,2011,162804,Electric,Dealer,Manual,Third Owner,33.67,1200,89.41,6,50000
Mahindra,2007,102047,Diesel,Individual,Automatic,Third Owner,11.95,3000,179.78,5,50000
Honda,2012,158498,CNG,Individual,Manual,First Owner,25.63,1800,89.71,4,50000
Honda,2022,35982,Petrol,Dealer,Automatic,First Owner,20.6,1000,67.55,7,296044.63
Honda,2021,64720,Petrol,Individual,Manual,First Owner,23.92,1000,75.68,5,284472.84
Toyota,2015,152818,Diesel,Dealer,Manual,First Owner,15.33,3000,195.88,5,274387.47
Tata,2006,33514,Petrol,Dealer,Manual,First Owner,27.2,2000,107.79,5,50000
BMW,2023,139923,Diesel,Individual,Manual,Third Owner,33.99,1800,106.79,5,902008.19
Tata,2011,155868,Electric,Trustmark Dealer,Automatic,First Owner,21.46,3000,210.27,5,50000
Maruti,2022,81034,Diesel,Dealer,Automatic,Second Owner,23.07,800,34.16,5,159739.1
Tata,2012,198870,Diesel,Dealer,Manual,Second Owner,16,3000,146.06,5,50000
Toyota,2018,103388,Petrol,Trustmark Dealer,Manual,First Owner,32.3,1200,70.2,5,104532.22
Maruti,2011,199057,Petrol,Individual,Manual,Third Owner,34.28,1000,64.17,7,50000
Tata,2008,170664,Petrol,Individual,Automatic,Third Owner,29.66,3000,160.7,7,50000
Toyota,2021,49845,Diesel,Dealer,Manual,First Owner,23.57,2500,129.84,4,856917.36
BMW,2009,152002,Petrol,Trustmark Dealer,Manual,First Owner,33.92,1800,74.98,4,50000
Tata,2016,115853,Petrol,Dealer,Automatic,First Owner,13.85,2500,103.26,5,193981.72
Toyota,2013,113417,Diesel,Individual,Automatic,Second Owner,21.96,1800,92.07,5,50000
Honda,2017,118436,Petrol,Dealer,Manual,First Owner,23.44,3000,183.66,7,309823.25
Mahindra,2022,26159,Petrol,Individual,Manual,Second Owner,22.3,3000,186.76,5,634167.24
Honda,2013,94788,Petrol,Dealer,Automatic,Third Owner,30.06,1000,59.76,5,50000
Mahindra,2008,29003,Electric,Dealer,Automatic,First Owner,26.76,1000,56.4,5,50000
Hyundai,2012,110722,Diesel,Dealer,Manual,Third Owner,13.17,3000,150.27,7,50000
Hyundai,2005,40139,Diesel,Dealer,Automatic,First Owner,18.66,800,44.82,7,50000
Hyundai,2021,57452,Petrol,Individual,Automatic,Third Owner,18.48,1800,81.99,5,277561.41
BMW,2013,27205,Electric,Trustmark Dealer,Manual,First Owner,24.14,3000,133.83,5,501327.01
Honda,2017,61955,Diesel,Trustmark Dealer,Manual,Second Owner,17.29,1800,93.6,5,174645.9
Mahindra,2006,12464,Petrol,Dealer,Manual,First Owner,12.93,1500,119.72,5,50000
Toyota,2017,14840,CNG,Individual,Automatic,Third Owner,26.34,2000,106.12,4,212131.98
Maruti,2013,45768,Petrol,Individual,Manual,Second Owner,31.28,800,61.97,7,50000
Toyota,2010,145533,Diesel,Dealer,Automatic,First Owner,33.29,1000,55.69,5,50000
Maruti,2005,25927,Diesel,Dealer,Automatic,Second Owner,34.31,2500,143.9,7,50000
Ford,2009,103622,Petrol,Individual,Manual,First Owner,29.53,1000,71.88,7,50000
Toyota,2007,20329,Electric,Trustmark Dealer,Automatic,Second Owner,13.49,1200,52.49,5,50000
Tata,2008,20791,Diesel,Individual,Automatic,Third Owner,31.33,2000,94.59,5,50000
Tata,2005,57627,Diesel,Dealer,Manual,First Owner,20,1000,78.95,7,50000
Audi,2018,133885,Petrol,Individual,Manual,First Owner,28.25,1800,108.43,5,792419.69
Honda,2013,150444,Petrol,Dealer,Manual,First Owner,23.28,1000,41.77,5,90672.55
Maruti,2008,184541,Petrol,Individual,Automatic,Second Owner,30.72,3000,125.69,5,50000
Maruti,2022,114554,Diesel,Individual,Automatic,First Owner,20.64,1800,137.32,5,484350.83
Honda,2018,135436,Petrol,Dealer,Manual,First Owner,11.54,1800,134.88,5,215036.33
BMW,2008,92073,Diesel,Trustmark Dealer,Automatic,First Owner,23.92,800,46.67,5,50000
Audi,2014,39370,Diesel,Dealer,Manual,First Owner,14.28,1000,46.53,5,263258.15
BMW,2007,56408,Petrol,Trustmark Dealer,Manual,Fourth & Above Owner,34.14,800,58.57,4,50000
BMW,2011,95941,Diesel,Dealer,Manual,First Owner,23.17,2500,132.46,4,50000
BMW,2014,159775,Petrol,Dealer,Manual,Second Owner,23.84,2500,141.91,5,202161.18
Honda,2017,151306,Electric,Dealer,Manual,Second Owner,32.68,2000,134.6,5,275289.95
BMW,2008,143604,Diesel,Dealer,Manual,Second Owner,25.61,1800,97.44,4,50000
Tata,2022,40416,Petrol,Dealer,Manual,First Owner,17.57,3000,195.44,5,650000.97
Hyundai,2015,77439,Petrol,Individual,Automatic,Second Owner,17.4,3000,226.23,6,290531.84
Ford,2008,23242,Petrol,Individual,Manual,Third Owner,22.54,2500,179.74,6,50000
